star_id,orbital_period,planet_radius,star_radius,star_temp,star_logg,label
3246984,1.626630225,32.43,0.973,5735.0,4.41,0
3342970,2.711504086,3.12,1.076,6214.0,4.442,1
3342970,7.21203748,3.32,1.076,6214.0,4.442,1
12459725,14.1798187,1.88,0.878,5799.0,4.539,0
12470844,8.47237911,2.59,0.788,5354.0,4.587,1
12470844,60.4189369,2.36,0.788,5354.0,4.587,1
12644822,12.611904345,7.4,0.919,5795.0,4.508,1
2440757,1.433769925,46.58,1.339,6017.0,4.22,0
2445129,10.31872301,28.59,1.06,5927.0,4.409,0
2713049,2.539183147,2.06,1.062,5519.0,4.35,1
3114167,6.770300385,2.77,0.679,5653.0,4.656,1
3114661,0.444291966,27.51,0.636,5255.0,4.678,0
3115833,10.181584004,7.73,0.836,5988.0,4.541,1
4139816,20.06036336,1.96,0.493,3950.0,4.754,1
4139816,46.1842039,1.83,0.493,3950.0,4.754,1
8395660,23.9800854,1.31,1.012,5854.0,4.406,1
4139816,7.82502168,1.2,0.493,3950.0,4.754,1
4275191,3.895936525,7.34,0.774,5557.0,4.592,1
4476123,22.36646466,2.32,0.734,5395.0,4.615,1
3351888,1.625522174,9.73,1.106,5539.0,4.322,1
3453214,19.620346923,13.6,0.905,5710.0,4.492,1
3554600,7.544039,17.47,0.824,5657.0,4.567,0
3641726,9.02930689,2.57,0.82,5349.0,4.526,1
3734868,10.328035714,13.28,1.024,5627.0,4.359,0
3832474,143.2063047,8.9,0.867,5485.0,4.556,1
8395660,6.164876,0.79,1.012,5854.0,4.406,1
3832474,60.32494216,12.19,0.867,5485.0,4.556,1
3832474,29.1598615,1.91,0.867,5485.0,4.556,1
3836375,1.540397253,25.69,0.915,5663.0,4.53,0
3838486,2.99025443,1.7,0.731,4667.0,4.578,0
3935914,1.594745374,11.3,0.893,5934.0,4.491,1
3940418,4.783002698,2.5,0.807,5170.0,4.574,1
4049131,20.50588921,3.41,0.761,4905.0,4.544,1
4139816,3.340218842,2.03,0.493,3950.0,4.754,1
5287983,2.507089906,30.26,0.939,5926.0,4.506,0
5358241,18.64932728,3.12,1.053,5775.0,4.405,1
10875245,4.90144976,1.7,1.402,5847.0,4.191,1
5358241,9.75192101,2.76,1.053,5775.0,4.405,1
5358241,38.5576546,4.02,1.053,5775.0,4.405,1
5358624,3.525632539,11.58,0.793,5150.0,4.572,1
4544670,34.84398644,7.61,0.871,5509.0,4.482,1
4664847,7.748094239,5.52,1.085,5973.0,4.439,1
4725681,23.96793669,1.8,0.524,3747.0,4.728,1
4725681,8.29561738,1.82,0.524,3747.0,4.728,1
4913852,8.11437482,2.1,0.517,3692.0,4.753,1
4932348,38.036729482,27.5,0.932,5575.0,4.521,0
4936180,4.64090031,30.09,0.826,6463.0,4.5,1
11913073,3.747838198,13.65,0.826,5514.0,4.569,0
10875245,14.74914825,2.89,1.402,5847.0,4.191,1
5021899,21.81295996,3.38,0.999,5601.0,4.41,1
5077629,7.91936937,10.34,0.776,5690.0,4.588,0
5115978,1.028436523,72.77,0.99,6228.0,4.428,1
5164255,15.37562369,11.01,0.833,4986.0,4.496,1
5252423,8.10363271,2.11,0.732,4861.0,4.574,1
5252423,4.71510843,1.46,0.732,4861.0,4.574,1
5272878,6.365839713,2.44,0.849,5776.0,4.554,1
5283542,5.97581754,3.86,0.997,6108.0,4.471,0
5649215,2.446737317,26.25,0.863,5764.0,4.548,0
5651104,3.04033046,8.99,0.791,5035.0,4.519,1
5792202,15.33528675,5.0,0.817,5251.0,4.581,1
10875245,7.95825328,1.06,1.402,5847.0,4.191,1
5792202,31.33046135,6.5,0.817,5251.0,4.581,1
5370302,3.9043425,12.28,0.898,5810.0,4.526,0
5372966,9.286358079,17.61,0.821,5670.0,4.523,0
5376067,3.951405455,31.44,0.869,6046.0,4.539,0
5436502,23.65369415,7.89,1.384,5739.0,4.191,1
5436502,13.23352214,3.06,1.384,5739.0,4.191,1
5436502,6.15560285,2.32,1.384,5739.0,4.191,1
5436502,2.090811305,1.62,1.384,5739.0,4.191,1
10875245,3.180027898,1.53,1.402,5847.0,4.191,1
5436502,50.4467417,2.67,1.384,5739.0,4.191,1
5456651,11.76307164,2.35,0.756,4959.0,4.603,1
5456651,56.2279271,2.37,0.756,4959.0,4.603,1
5481416,2.384052875,17.06,0.701,4794.0,4.58,0
5531576,7.953547,2.25,0.779,4768.0,4.536,1
5531576,4.14451656,1.48,0.779,4768.0,4.536,1
5534814,4.859386384,38.33,0.988,6072.0,4.47,0
6291653,10.526294577,8.24,0.793,5386.0,4.553,1
6392727,4.583520948,5.39,0.877,5815.0,4.54,1
6422070,3.76181843,2.66,0.949,5653.0,4.472,1
6428700,8.20396958,3.01,0.826,5015.0,4.499,1
6428700,14.49645186,3.01,0.826,5015.0,4.499,1
5792202,6.54626149,2.19,0.817,5251.0,4.581,1
5794379,12.71809866,2.31,0.686,4702.0,4.592,1
5794379,36.06588163,2.64,0.686,4702.0,4.592,1
5881688,4.190425659,6.21,1.135,6073.0,4.392,1
6022556,3.709870784,4.35,0.978,5727.0,4.463,1
6032497,16.3297527,3.75,0.987,5878.0,4.444,1
6061119,27.807566216,13.84,0.785,5862.0,4.584,1
6191521,80.8723469,7.59,1.238,5510.0,4.222,1
6267425,3.166465862,26.82,0.704,4968.0,4.575,0
3531558,24.99324319,2.29,1.317,5718.0,4.181,1
6276477,10.35533116,2.47,0.918,5501.0,4.462,1
6863998,16.08518937,3.68,0.826,5239.0,4.523,1
6867155,235.9986399,10.59,0.657,4245.0,4.627,1
6948054,7.49018305,2.56,0.787,5103.0,4.562,1
6948054,36.2761238,3.03,0.787,5103.0,4.562,1
6948054,17.46087931,2.32,0.787,5103.0,4.562,1
6435936,56.0560754,1.94,0.491,3593.0,4.757,1
6522242,41.408316686,11.38,0.747,5522.0,4.586,1
6526710,39.74893077,14.21,0.964,6122.0,4.487,1
6587280,5.715425977,2.47,0.826,5237.0,4.572,1
9471974,49.18394185,8.2,2.057,5626.0,3.907,1
6587280,20.0261412,2.28,0.826,5237.0,4.572,1
6599919,13.61014819,19.02,0.903,5697.0,4.46,1
6675056,10.44331991,2.66,0.802,4947.0,4.516,0
6685526,2.237489571,1.41,0.81,5265.0,4.58,1
6756669,5.851520671,14.62,0.806,5532.0,4.53,0
6784235,3.167893418,2.62,0.94,5895.0,4.503,1
6849310,4.311780262,3.11,0.927,5527.0,4.484,1
6849310,20.0504494,2.69,0.927,5527.0,4.484,1
6849310,9.76734503,2.67,0.927,5527.0,4.484,1
6862328,119.0207044,8.98,1.062,5453.0,4.342,1
9471974,190.3200468,7.78,2.057,5626.0,3.907,1
6862603,2.861159894,4.37,1.021,6126.0,4.458,0
7366258,26.44439337,3.91,0.929,5427.0,4.463,1
7366258,51.53997972,5.51,0.929,5427.0,4.463,1
7366258,5.902245782,2.43,0.929,5427.0,4.463,1
7366258,2.382951591,1.86,0.929,5427.0,4.463,1
7373451,21.02250608,3.07,0.75,5067.0,4.585,1
6948054,3.219814777,1.69,0.787,5103.0,4.562,1
6949607,5.912273234,1.73,0.57,4072.0,4.696,1
6949607,8.98581901,1.65,0.57,4072.0,4.696,1
7031517,12.940668656,22.94,0.809,5875.0,4.572,1
11869052,20.5452375,2.41,1.264,5670.0,4.206,0
7109675,33.60123371,8.46,0.93,5149.0,4.447,1
7109675,6.76652928,1.97,0.93,5149.0,4.447,1
7118364,4.347288783,2.36,1.122,5754.0,4.345,1
7134976,4.601811819,2.35,0.833,4986.0,4.496,1
7134976,11.18719905,1.55,0.833,4986.0,4.496,1
7135852,4.220965778,2.62,0.517,3837.0,4.747,1
7270230,6.998099523,588.66,0.829,5612.0,4.566,0
7287995,5.95489993,2.33,0.633,4261.0,4.641,1
7287995,12.03987488,2.18,0.633,4261.0,4.641,1
7287995,20.83762895,1.42,0.633,4261.0,4.641,1
3247396,8.8111022,63.66,2.404,6200.0,3.8,0
7303253,23.58917143,3.16,0.721,4919.0,4.566,1
5094751,6.481633073,2.54,1.302,5945.0,4.213,1
7678434,10.37168928,3.2,0.888,5121.0,4.457,1
7678434,3.96996298,1.78,0.888,5121.0,4.457,1
7685981,4.40841331,2.66,0.961,6007.0,4.457,1
7708215,7.9426176,4.68,0.926,5811.0,4.521,0
7373451,226.8904775,4.53,0.75,5067.0,4.585,1
7377033,1.956811408,21.58,0.603,5209.0,4.657,0
7380537,2.688899233,12.04,0.639,4820.0,4.667,1
7434875,9.439459486,4.16,0.779,5097.0,4.597,1
8349582,11.523067458,3.13,1.411,5644.0,4.162,1
7434875,20.47748843,2.92,0.779,5097.0,4.597,1
7434875,3.336123113,1.74,0.779,5097.0,4.597,1
7455287,8.01078456,1.72,0.47,3713.0,4.779,1
7455287,12.07134205,1.29,0.47,3713.0,4.779,1
7455287,20.99587872,1.3,0.47,3713.0,4.779,1
7458762,7.41113177,2.45,0.919,5849.0,4.517,1
7552344,1.000747038,4.14,0.79,5472.0,4.499,0
757450,8.884922995,10.51,0.843,5332.0,4.5,1
7585481,8.09888906,8.95,1.076,6214.0,4.442,1
7663691,10.00653012,3.52,1.001,6063.0,4.47,1
5812701,17.855221681,13.16,1.367,6823.0,4.308,1
8013419,12.732624065,4.87,0.541,3950.0,4.721,1
8018547,83.92494032,4.78,0.509,3960.0,4.746,1
8039892,5.007316661,6.96,0.827,5865.0,4.563,1
8150320,2.211116989,1.85,0.646,4500.0,4.656,1
8150320,27.9541337,1.9,0.646,4500.0,4.656,1
11086270,12.69104387,2.57,1.626,5869.0,4.024,1
7767559,4.409409243,10.95,0.975,5600.0,4.368,0
7825899,16.23947096,4.14,0.837,5191.0,4.564,1
7825899,6.308201629,2.96,0.837,5191.0,4.564,1
7849854,2.052349884,13.12,1.08,5855.0,4.393,1
7870390,9.7704486,2.23,0.509,3906.0,4.73,1
7870390,5.169804269,1.66,0.509,3906.0,4.73,1
5094751,21.22261195,2.48,1.302,5945.0,4.213,1
7870390,20.09017037,2.25,0.509,3906.0,4.73,1
7907423,7.11373257,1.16,0.411,3561.0,4.855,1
7907423,3.306551643,0.91,0.411,3561.0,4.855,1
7907423,15.36845737,1.11,0.411,3561.0,4.855,1
7938496,13.81020318,4.56,1.142,5942.0,4.327,1
8490993,4.093578461,2.85,0.999,6077.0,4.471,1
8490993,105.145959,3.43,0.999,6077.0,4.471,1
8505670,10.8484518,2.34,0.591,4201.0,4.682,1
8505670,6.66833241,1.18,0.591,4201.0,4.682,1
8544996,4.082274889,10.55,0.794,5655.0,4.581,1
8552202,3.886655224,1.87,0.738,5662.0,4.61,1
8150320,42.1406089,1.85,0.646,4500.0,4.656,1
8150320,4.617490562,1.62,0.646,4500.0,4.656,1
8150320,10.19849255,1.75,0.646,4500.0,4.656,1
8180063,5.795063956,4.33,0.827,5865.0,4.563,0
8226994,7.15681552,2.47,0.838,5029.0,4.494,1
8226994,17.64830851,2.43,0.838,5029.0,4.494,1
8226994,4.14810719,1.08,0.838,5029.0,4.494,1
8247638,16.51410989,2.72,0.866,5527.0,4.488,1
8247638,30.1329298,3.14,0.866,5527.0,4.488,1
8247638,4.79090809,1.36,0.866,5527.0,4.488,1
11086270,31.71981013,3.09,1.626,5869.0,4.024,1
8247638,99.6415962,2.64,0.866,5527.0,4.488,1
8255887,4.708326451,10.6,1.21,5560.0,4.246,1
8256049,16.37198661,540.37,0.592,4187.0,4.656,0
8414716,5.392026903,2.68,0.801,5198.0,4.589,1
9140402,2.494170338,2.42,0.829,5569.0,4.566,1
9141746,6.491682808,9.66,1.107,6123.0,4.413,1
9159275,3.044770796,24.54,0.753,5525.0,4.603,0
9166862,3.855603916,13.61,1.046,6033.0,4.46,1
9166870,3.855599139,3.57,0.965,5936.0,4.501,0
11449844,38.47876629,13.26,0.879,5510.0,4.539,1
8605074,37.601661282,27.22,1.096,6140.0,4.354,0
8628973,3.314947362,3.94,0.944,5609.0,4.481,1
8655354,6.71969089,4.37,0.866,5931.0,4.479,0
8672910,39.6431552,10.98,0.9,5231.0,4.455,1
8686150,51.42598578,29.66,1.147,6257.0,4.41,0
8689031,21.80451611,2.6,0.708,5481.0,4.629,1
8689373,10.28194593,2.53,0.775,5196.0,4.593,1
8689373,18.11993039,2.95,0.775,5196.0,4.593,1
8689373,3.78402867,1.7,0.775,5196.0,4.593,1
8826878,5.15448142,2.94,0.884,5431.0,4.457,1
5897826,33.80364366,20.7,1.796,5855.0,3.999,0
8883593,5.743469797,3.13,0.891,5897.0,4.531,1
8951215,39.4759093,4.06,1.031,6225.0,4.45,1
9016295,19.974485239,26.56,0.997,6108.0,4.471,0
9077124,3.166353562,3.82,0.998,6007.0,4.47,1
9097120,23.899634407,44.04,0.924,6192.0,4.503,0
9466668,3.388012244,2.11,1.25,5553.0,4.221,1
9466668,5.83909761,2.06,1.25,5553.0,4.221,1
9466668,1.620467654,1.57,1.25,5553.0,4.221,1
9466668,10.6816951,2.3,1.25,5553.0,4.221,1
9479273,6.104849417,3.18,0.712,5085.0,4.584,1
8359498,3.578780566,10.43,0.994,5524.0,4.421,1
9171801,3.187067566,23.88,0.811,5450.0,4.552,0
9334289,5.826657508,4.09,1.06,5561.0,4.362,1
9334289,12.41216347,2.58,1.06,5561.0,4.362,1
9334289,18.74649011,3.05,1.06,5561.0,4.362,1
9347899,20.86021229,5.5,1.257,6035.0,4.22,1
9347899,42.63427848,5.22,1.257,6035.0,4.22,1
9347899,87.6476068,4.0,1.257,6035.0,4.22,1
9347899,9.61731426,1.94,1.257,6035.0,4.22,1
9388479,9.467821474,2.13,0.458,3582.0,4.807,1
9388479,0.893040969,1.24,0.458,3582.0,4.807,1
11359879,4.942783419,10.62,0.978,5514.0,4.459,1
9406990,20.83426731,2.74,0.88,5537.0,4.549,1
9415172,9.94602357,3.12,1.013,5344.0,4.365,1
9415172,1.04562195,1.45,1.013,5344.0,4.365,1
9415172,5.71462396,1.78,1.013,5344.0,4.365,1
9904059,102.9641952,39.0,7.119,5047.0,3.066,0
3231341,8.14515981,3.43,1.24,5896.0,4.197,1
3231341,18.9985279,43.17,1.24,5896.0,4.197,1
3231341,4.24439049,2.07,1.24,5896.0,4.197,1
2860866,90.1240507,7.12,1.215,6520.0,4.375,1
7626506,28.5742692,2.32,0.812,5551.0,4.508,1
10460629,856.672115,3.87,1.309,6449.0,4.232,1
10319385,0.689210173,1.32,0.954,5630.0,4.505,1
10482160,7.34373964,1.84,0.762,5757.0,4.597,1
10485069,0.445277068,35.74,1.064,6167.0,4.444,0
3233043,0.379463865,59.56,1.783,5075.0,3.892,0
6579806,9.88047978,23.6,0.917,6113.0,4.512,0
3560301,4.6484156,5.06,3.482,6980.0,3.577,0
4044005,17.512014768,13.66,1.132,6224.0,4.33,0
11502218,3.9886021,34.39,13.652,4813.0,2.472,1
11180361,0.533059312,133.56,4.051,8523.0,3.559,1
5802246,0.525154153,23.61,0.846,5582.0,4.497,0
6066403,1.303861044,27.85,0.902,5758.0,4.475,0
6209637,0.73452496,,,,,0
5988031,2.55549176,23.35,0.901,5948.0,4.508,0
7684873,2.947376671,403.59,2.234,8090.0,4.002,0
8559644,224.7789355,7.67,1.235,5873.0,4.293,1
2851100,0.890110752,1.25,0.711,4768.0,4.628,0
3130300,5.76573396,7.47,4.434,5772.0,3.364,0
3240158,7.42608123,2.47,1.176,6049.0,4.353,1
3240158,15.9868932,1.62,1.176,6049.0,4.353,1
3228959,0.73094589,17.12,0.848,5901.0,4.553,0
3218908,18.92537246,13.92,4.885,4941.0,3.317,1
10341913,0.933749106,3.22,2.188,6215.0,3.849,0
10480921,2.037440623,1.19,1.015,6253.0,4.415,0
10287723,129995.7784,2.99,0.726,4500.0,4.572,1
10350571,31.5925809,1.78,1.487,5676.0,4.1,1
10350571,17.157236,1.55,1.487,5676.0,4.1,1
3749365,1.97376085,8.78,0.503,3807.0,4.762,1
11013201,13.118962443,8.25,4.24,7221.0,3.488,1
11673674,4.618767792,7.48,1.033,6013.0,4.381,0
11013201,7.82187328,2.78,4.24,7221.0,3.488,1
9414417,53.5057611,2.52,1.762,6247.0,4.016,1
3632418,2.785821236,1.69,1.733,6202.0,4.026,1
3441784,52.56901867,78.54,1.717,7240.0,4.178,0
5820218,3.411758679,14.71,0.561,3995.0,4.71,0
5876368,0.525426427,1.45,0.802,5791.0,4.575,0
5809890,1.269091415,1.41,0.766,5041.0,4.576,1
5809890,2.853133997,1.36,0.766,5041.0,4.576,1
6131236,6.79685353,2.01,0.97,6061.0,4.486,1
9048161,8.667822346,67.37,1.889,6266.0,3.923,0
3218908,1.475323222,5.88,4.885,4941.0,3.317,1
3218908,4.15246118,7.62,4.885,4941.0,3.317,1
3235672,6.7210783,,,,,0
2837111,8.7348852,1.59,0.96,5982.0,4.493,1
3120276,10.26547688,1.81,0.853,5699.0,4.553,0
2307199,13.4471791,5.24,1.041,6276.0,4.405,1
3547091,3.305577989,25.89,0.707,5534.0,4.629,0
3869825,4.800653901,16.91,1.241,6715.0,4.347,0
3655332,15.06649901,56.44,1.626,5751.0,4.028,0
4042026,34.82008158,11.36,0.784,5114.0,4.522,0
3344419,0.651784374,33.65,1.061,5555.0,4.375,0
11192141,1.353771892,430.99,15.76,4283.0,2.012,0
11494130,18.95491633,71.39,2.534,6362.0,3.761,0
5648449,4.348866254,2436.69,101.451,3598.0,0.65,0
12167361,47.93094546,68.02,1.938,8214.0,4.104,0
8607720,3.99751422,2.98,5.324,5066.0,3.122,0
1433962,1.592633181,1.56,0.651,4506.0,4.626,0
9032900,67.5923754,12.1,1.744,6038.0,4.082,1
5956342,17.02902786,2.54,1.067,5839.0,4.327,1
5956342,6.84619236,1.67,1.067,5839.0,4.327,1
5956342,67.8321638,2.39,1.067,5839.0,4.327,1
5956342,43.1312147,2.39,1.067,5839.0,4.327,1
5956656,1.224866441,1.54,1.107,5553.0,4.32,1
3109930,37.8102649,2.33,0.973,6085.0,4.451,1
2854914,25.93406406,2.48,1.225,5952.0,4.287,1
2854914,83.4463485,2.73,1.225,5952.0,4.287,1
3337425,7.04710032,25.2,1.068,5766.0,4.363,0
3116412,12.99204853,2.03,1.242,5765.0,4.236,1
3865567,11.11620211,8.96,0.996,6122.0,4.471,0
3544689,1.922861499,5.09,0.911,5778.0,4.531,0
4037164,0.635445336,19.0,0.55,3920.0,4.7,0
3443790,1.665784138,97.27,2.789,6261.0,3.686,0
3966912,55.6639167,34.14,0.853,5587.0,4.528,0
8394721,52.09081627,7.14,1.324,6198.0,4.237,1
11607193,7.1548608,7.41,1.739,7443.0,4.166,0
1161345,4.28746668,2.29,0.815,5296.0,4.576,1
10227501,2.002779769,1.42,0.892,5346.0,4.44,0
2854698,8.18739443,1.92,0.849,5251.0,4.494,1
2854698,76.0498163,1.75,0.849,5251.0,4.494,1
8559644,3.341799486,1.67,1.235,5873.0,4.293,1
6032981,3.3226948,15.33,16.959,5234.0,2.41,0
5866099,36.97708808,38.6,1.239,5589.0,4.193,0
5964985,1.851409163,20.42,1.469,7117.0,4.176,0
6066416,1.303859704,0.98,1.521,6802.0,4.103,0
1996679,145.5624926,40.15,1.095,6148.0,4.346,0
2849805,3.749105745,1.68,0.983,5751.0,4.447,1
3114811,11.08956602,3.51,2.867,6353.0,3.698,1
2853446,7.37290344,2.67,1.07,5973.0,4.371,1
3003992,7.24476126,0.65,0.874,5370.0,4.494,0
3942446,119.0624882,10.4,0.92,5697.0,4.392,1
3554031,8.70798309,2.01,0.554,4362.0,4.722,1
3554031,14.8623076,1.57,0.554,4362.0,4.722,1
3554031,4.17634276,1.23,0.554,4362.0,4.722,1
8394721,27.40229859,3.63,1.324,6198.0,4.237,1
7295235,3.179267286,1.21,0.857,5511.0,4.554,1
2302548,10.38122447,2.18,0.78,5095.0,4.566,1
2302548,24.5709023,2.82,0.78,5095.0,4.566,1
10743597,81.221876,16.59,0.874,5619.0,4.536,0
10743597,0.817026268,2.92,0.874,5619.0,4.536,0
9818381,3.024092505,12.14,1.358,6063.0,4.261,1
6124941,5.670155713,5.85,0.183,3337.0,5.126,0
6060203,1.022678654,1.14,1.02,5366.0,4.363,1
5880320,12.10968709,2.98,1.458,6021.0,4.093,1
5880320,4.75796103,1.7,1.458,6021.0,4.093,1
5880320,20.4972755,2.96,1.458,6021.0,4.093,1
3003992,13.55480534,0.62,0.874,5370.0,4.494,0
6307537,29.74454668,20.06,0.788,4889.0,4.569,0
6359798,14.15402428,53.25,1.037,5850.0,4.404,0
6311681,0.844786082,35.27,0.915,5705.0,4.452,0
6365321,0.848483947,32.11,0.936,5941.0,4.504,0
6301035,11.99097576,37.47,1.072,6110.0,4.352,0
3859079,53.5292702,2.28,0.708,4736.0,4.624,1
3557493,0.393726813,24.17,1.031,6277.0,4.449,0
4061149,2.757584622,1.01,0.424,3683.0,4.84,1
3444588,0.928310036,1.16,0.602,4109.0,4.672,1
8394721,13.48457668,3.39,1.324,6198.0,4.237,1
3962243,31.8841473,3.7,0.974,5779.0,4.477,1
10743597,16.15811112,86.13,0.874,5619.0,4.536,1
10015516,67.69213907,175.98,10.703,5355.0,2.754,0
10154388,12.06222962,1.62,0.933,5547.0,4.451,1
1432789,9.93146307,2.41,1.22,5782.0,4.28,1
1718189,21.85362905,1.75,0.876,5830.0,4.54,1
5880320,8.19345065,1.74,1.458,6021.0,4.093,1
5130369,19.97867,6.85,1.895,9651.0,4.229,0
6037187,41.8059544,2.02,0.973,5907.0,4.445,1
6147122,15.45158184,2.02,2.069,7839.0,4.08,0
8257407,89.698168533,102.08,1.583,6214.0,4.021,0
8218274,1.187352427,67.35,1.489,6424.0,4.186,0
3964562,3.012476582,65.25,2.031,8601.0,4.137,0
5735762,4.77800306,1.85,0.873,5192.0,4.489,1
6292162,7.814839231,5.33,0.931,5887.0,4.499,0
6307521,29.7452499,3.6,1.004,5334.0,4.372,0
6359320,5.32667299,2.26,0.921,5831.0,4.517,1
3848972,0.741057213,26.67,0.776,5496.0,4.592,0
3860441,2.988085455,21.81,0.809,5497.0,4.577,0
3765771,2.783883492,67.17,2.147,6028.0,3.835,0
3557341,0.393727296,23.05,0.808,5628.0,4.575,0
3859628,8.17242644,3.29,0.905,5705.0,4.499,1
3644071,1295.362215,57.82,1.048,5609.0,4.346,1
1718189,13.0607936,1.45,0.876,5830.0,4.54,1
1431122,4.2989201,2.12,0.986,5300.0,4.385,1
3858949,25.9518461,22.32,0.796,5372.0,4.584,0
3858824,25.9518536,24.6,0.742,5198.0,4.604,0
2157247,5.68628739,4.5,0.956,6052.0,4.442,0
7601633,15.663886949,27.36,2.221,5996.0,3.901,0
8242681,4.020628573,16.94,1.033,6210.0,4.45,0
8260218,5.714817603,9.29,0.842,5695.0,4.526,1
8246781,185.02288222,49.82,1.367,6025.0,4.237,0
8264070,2.897432135,14.35,2.994,5970.0,3.619,0
8222813,8.70420525,2.86,0.863,5074.0,4.474,1
6359320,8.1280933,1.39,0.921,5831.0,4.517,1
6359320,2.83668931,1.19,0.921,5831.0,4.517,1
6362874,0.974868896,1.16,0.832,5487.0,4.563,1
6272413,4.89721006,1.48,0.847,5093.0,4.483,1
8279765,2.757794163,20.05,0.891,5747.0,4.514,0
8330548,1.914158508,13.63,1.118,6289.0,4.407,0
3348082,3.98216698,3.32,1.548,5570.0,4.066,0
3853673,0.643794198,19.51,0.83,5958.0,4.561,0
3447722,16.08832318,3.42,1.33,6157.0,4.224,1
3447722,10.30067919,2.2,1.33,6157.0,4.224,1
3447722,35.6757453,3.02,1.33,6157.0,4.224,1
3447722,1.00861677,,,,,1
1432214,161.78832712,36.14,1.212,6018.0,4.327,0
2165002,16.56806842,2.54,0.716,4987.0,4.602,1
