star_id,orbital_period,transit_duration,transit_depth,planet_radius,star_radius,star_temp,star_logg,label
16288184,2.1805277,2.969175,16340.1353205,16.808853,1.2714601,6599.0,4.21017,1
144065872,2.1846669,2.86528,11708.0228549,13.7028527,1.23824,5630.0,4.37759,1
66818296,3.7354838,4.142,17030.0,21.2315,1.57,6650.0,4.1639,1
259863352,21.701669,8.2676424,211.6567325,2.3751494,1.56486,5625.0,4.438,0
317060587,9.139804,3.0912936,358.4157801,3.0629855,1.58,5958.2,4.34,1
112395568,5.742625,2.860293,1105.760867,13.088532,3.86959,5664.0,3.26574,0
366989877,15.5077855,4.565,513.0,2.43432,1.17,6122.0,4.30881,1
320004517,17.4713078,4.4284819,1199.7541483,3.5766828,0.974669,5783.54,4.49925,1
421894914,5.3079507,3.2158594,391.3830934,3.0486928,1.36963,6124.3,4.38,1
323132914,51.1701501,6.6641048,851.4547808,2.9366826,0.943356,5599.0,4.46138,1
31553893,11.1296441,7.0473822,951.6169809,12.8402271,3.4475601,5785.0,4.344,1
380783252,9.4496506,2.021,19750.0,17.0216,0.94,5509.0,4.39758,1
38846515,2.8493825,3.567,8049.0,16.3869,1.77,6900.0,4.438,1
101230735,2.0685633,0.373,502.0,3.89739,1.14,5687.9,4.6,0
253990973,0.540933,1.674337,257.347459,2.28501,1.21935,5525.0,4.25342,0
299799658,4.1150576,1.08,487.0,2.30057,0.89,5394.0,4.50942,1
406976746,10.0665238,2.4023189,839.9044871,2.7272824,0.791742,5552.0,4.61783,1
79748331,6.4438657,1.9309449,1121.9512275,2.460344,0.737189,4803.0,4.52079,1
79748331,12.2265595,2.1904379,1206.3693293,2.6014766,0.737189,4803.0,4.52079,1
7088246,2.160344,1.828854,19357.992992,22.503541,1.2,5780.0,4.32928,1
201604954,4.606184,3.121643,13793.034867,12.962219,1.07,5670.0,4.3925,1
201642601,3.1316735,2.4579197,14915.6943722,9.4995191,0.76701,4351.0,4.438,1
6663331,3.180362,2.111521,21192.463324,13.446487,0.92,5498.0,4.47934,1
31858843,2.9776446,2.962,13022.0,14.4339,1.22,5703.0,4.25824,1
92352620,3.9502008,4.444,13914.0,20.5357,1.71,6153.0,4.18077,1
31858844,2.9776152,3.25697,43218.111683,26.88423,1.28,5740.0,4.29219,0
120247528,3.5544026,2.0550535,10164.8753396,13.200677,1.11499,5639.0,4.37172,1
140830390,12.8379689,9.8464123,10539.0192794,25.4886382,2.4494,5765.0,4.34773,0
158297421,3.9228016,1.8736007,31510.9004906,13.3368705,0.6983,4444.0,4.438,1
327301957,13.9428705,3.7522756,1015.395543,2.4233421,0.741671,5206.0,4.63095,1
351601843,0.6047392,1.0403847,1027.6833479,1.8625587,0.580337,4046.0,4.60963,1
