,0,1,accuracy,macro avg,weighted avg
precision,0.49884526558891457,0.878158844765343,0.7715768981181051,0.6885020551771288,0.7917610081067276
recall,0.6153846153846154,0.8176470588235294,0.7715768981181051,0.7165158371040724,0.7715768981181051
f1-score,0.5510204081632653,0.8468233246301131,0.7715768981181051,0.6989218663966892,0.7794470600747181
support,351.0,1190.0,0.7715768981181051,1541.0,1541.0
