threshold,precision,recall,f1,tag
0.0,0.772225827384815,1.0,0.8714756499450751,high_recall
0.01,0.7727272727272727,1.0,0.8717948717948718,
0.02,0.7737321196358907,1.0,0.8724340175953079,
0.03,0.7740885416666666,0.9991596638655462,0.8723404255319149,
0.04,0.7768324607329843,0.9974789915966387,0.8734363502575423,
0.05,0.7804076265614727,0.9974789915966387,0.8756916267060125,
0.06,0.7844827586206896,0.9941176470588236,0.876945885841364,
0.07,0.7862849533954727,0.992436974789916,0.8774145616641902,
0.08,0.7892976588628763,0.9915966386554622,0.8789571694599627,
0.09,0.7899328859060403,0.9890756302521009,0.8783582089552239,
0.1,0.7925675675675675,0.9857142857142858,0.8786516853932584,
0.11,0.796043656207367,0.980672268907563,0.8787650602409639,
0.12,0.7994505494505495,0.9781512605042016,0.8798185941043084,
0.13,0.8054204308547602,0.9739495798319328,0.8817040699885889,
0.14,0.8076923076923077,0.9705882352941176,0.8816793893129771,
0.15,0.8108680310515173,0.965546218487395,0.8814729574223246,
0.16,0.8152096659559346,0.9638655462184874,0.8833269156719291,best_f1
0.17,0.8174659985683608,0.9596638655462185,0.8828759180517974,
0.18,0.8188353702372394,0.9571428571428572,0.8826036419992251,
0.19,0.8200867052023122,0.9537815126050421,0.8818958818958819,
0.2,0.8248175182481752,0.9495798319327731,0.8828125,
0.21,0.8264705882352941,0.9445378151260504,0.8815686274509804,
0.22,0.8290155440414507,0.9411764705882353,0.8815426997245179,
0.23,0.8298662704309064,0.938655462184874,0.8809148264984227,
0.24,0.8325859491778774,0.9361344537815126,0.8813291139240507,
0.25,0.8340840840840841,0.9336134453781513,0.8810467882632831,
0.26,0.8372623574144487,0.9252100840336135,0.8790419161676647,
0.27,0.84,0.9176470588235294,0.8771084337349397,
0.28,0.8416988416988417,0.9159663865546218,0.8772635814889336,
0.29,0.8443579766536965,0.9117647058823529,0.8767676767676768,
0.3,0.8459734167318217,0.9092436974789916,0.8764682057513163,
0.31,0.8462145110410094,0.9016806722689076,0.8730675345809601,
0.32,0.8492063492063492,0.8991596638655462,0.8734693877551021,
0.33,0.8491620111731844,0.8941176470588236,0.8710601719197708,
0.34,0.8530120481927711,0.892436974789916,0.8722792607802875,
0.35000000000000003,0.8539144471347861,0.8890756302521008,0.8711403869905311,
0.36,0.8549432739059968,0.8865546218487395,0.8704620462046204,
0.37,0.8576104746317512,0.880672268907563,0.8689883913764511,
0.38,0.8598516075845012,0.8764705882352941,0.8680815647107782,
0.39,0.8603491271820449,0.8697478991596639,0.8650229837024656,
0.4,0.860484544695071,0.865546218487395,0.8630079597821533,
0.41000000000000003,0.8620689655172413,0.8613445378151261,0.8617065994115174,
0.42,0.8634435962680237,0.8554621848739495,0.859434360489658,
0.43,0.8653516295025729,0.8478991596638655,0.8565365025466893,
0.44,0.8662640207075065,0.8436974789915966,0.8548318433375904,
0.45,0.8675324675324675,0.8420168067226891,0.8545842217484009,
0.46,0.8706293706293706,0.8369747899159664,0.8534704370179949,
0.47000000000000003,0.8712522045855379,0.8302521008403362,0.8502581755593803,
0.48,0.8730017761989343,0.8260504201680672,0.8488773747841105,
0.49,0.8771300448430494,0.8218487394957983,0.848590021691974,
0.5,0.878158844765343,0.8176470588235294,0.8468233246301131,
0.51,0.8804347826086957,0.8168067226890756,0.8474280732345248,
0.52,0.8810612991765783,0.8092436974789916,0.8436268068331143,
0.53,0.8813247470101196,0.8050420168067227,0.8414580588493632,
0.54,0.8814814814814815,0.8,0.8387665198237886,
0.55,0.8813084112149533,0.7924369747899159,0.8345132743362832,
0.56,0.8814675446848542,0.7873949579831933,0.831779849090102,
0.5700000000000001,0.8823529411764706,0.7815126050420168,0.8288770053475936,
0.58,0.8861003861003861,0.7714285714285715,0.8247978436657682,
0.59,0.8861867704280155,0.7655462184873949,0.8214607754733995,
0.6,0.8868110236220472,0.7571428571428571,0.8168631006346329,
0.61,0.8878968253968254,0.7521008403361344,0.8143767060964513,
0.62,0.8895582329317269,0.7445378151260504,0.8106129917657823,
0.63,0.895112016293279,0.738655462184874,0.8093922651933702,
0.64,0.8969072164948454,0.7310924369747899,0.8055555555555556,
0.65,0.8985355648535565,0.7218487394957983,0.8005591798695247,
0.66,0.9003181336161188,0.7134453781512605,0.7960618846694796,
0.67,0.9025695931477516,0.7084033613445379,0.7937853107344632,
0.68,0.9053318824809575,0.6991596638655462,0.7889995258416311,
0.6900000000000001,0.9079822616407982,0.6882352941176471,0.7829827915869981,
0.7000000000000001,0.9123595505617977,0.6823529411764706,0.7807692307692308,
0.71,0.9144811858608894,0.6739495798319328,0.7760038703434929,
0.72,0.913953488372093,0.6605042016806723,0.7668292682926829,
0.73,0.9181494661921709,0.6504201680672269,0.7614363010329562,
0.74,0.9168674698795181,0.6394957983193277,0.7534653465346535,
0.75,0.9213759213759214,0.6302521008403361,0.7485029940119761,
0.76,0.9223057644110275,0.6184873949579832,0.7404426559356136,
0.77,0.9276485788113695,0.6033613445378151,0.7311608961303462,
0.78,0.926509186351706,0.5932773109243697,0.7233606557377049,
0.79,0.9265687583444593,0.5831932773109244,0.7158329035585353,
0.8,0.9281767955801105,0.5647058823529412,0.7021943573667712,
0.81,0.9284692417739628,0.5453781512605042,0.68713605082054,
0.8200000000000001,0.9276218611521418,0.5277310924369748,0.6727370112479915,
0.8300000000000001,0.9272727272727272,0.5142857142857142,0.6616216216216216,
0.84,0.9253968253968254,0.4899159663865546,0.6406593406593407,
0.85,0.9273927392739274,0.4722689075630252,0.6258351893095768,
0.86,0.9290657439446367,0.4512605042016807,0.6074660633484162,
0.87,0.9292196007259528,0.43025210084033616,0.5881677197013211,
0.88,0.9364161849710982,0.4084033613445378,0.5687536571094207,
0.89,0.9380165289256198,0.3815126050420168,0.5424133811230586,
0.9,0.9387755102040817,0.34789915966386553,0.5076640098099325,
0.91,0.9425,0.3168067226890756,0.4742138364779874,
0.92,0.9452449567723343,0.27563025210084036,0.42680546519193235,
0.93,0.9407665505226481,0.226890756302521,0.36560595802301965,
0.9400000000000001,0.9404255319148936,0.18571428571428572,0.3101754385964912,
0.9500000000000001,0.9497206703910615,0.14285714285714285,0.2483564645726808,
0.96,0.9516129032258065,0.09915966386554621,0.1796042617960426,
0.97,0.9846153846153847,0.05378151260504202,0.10199203187250996,
0.98,1.0,0.025210084033613446,0.04918032786885246,
0.99,1.0,0.010924369747899159,0.021612635078969242,
1.0,0.0,0.0,0.0,
