,0,1,accuracy,macro avg,weighted avg
precision,0.7083051991897367,0.8799567411679885,0.8202115158636898,0.7941309701788626,0.824205288520763
recall,0.7590448625180898,0.84963452836756,0.8202115158636898,0.8043396954428249,0.8202115158636898
f1-score,0.7327977645826057,0.864529838852488,0.8202115158636898,0.7986638017175469,0.821744004154256
support,1382.0,2873.0,0.8202115158636898,4255.0,4255.0
